"행정구역별","항목",2017,2017,2017,2017,2017,2017
"행정구역별","항목",계,30대이하,40대,50대,60대,70대이상
"강원도","귀농가구원수 (명)",1640,360,226,595,384,75
"강원도","귀농인수 (명)",1090,106,174,465,299,46
"강원도","동반가구원수 (명)",550,254,52,130,85,29
"춘천시","귀농가구원수 (명)",140,37,21,43,30,9
"춘천시","귀농인수 (명)",75,6,13,34,19,3
"춘천시","동반가구원수 (명)",65,31,8,9,11,6
"원주시","귀농가구원수 (명)",100,18,8,46,22,6
"원주시","귀농인수 (명)",65,4,6,36,15,4
"원주시","동반가구원수 (명)",35,14,2,10,7,2
"강릉시","귀농가구원수 (명)",86,22,18,24,18,4
"강릉시","귀농인수 (명)",55,7,14,17,14,3
"강릉시","동반가구원수 (명)",31,15,4,7,4,1
"삼척시","귀농가구원수 (명)",49,9,4,26,9,1
"삼척시","귀농인수 (명)",34,1,2,22,8,1
"삼척시","동반가구원수 (명)",15,8,2,4,1,-
"홍천군","귀농가구원수 (명)",246,52,23,89,74,8
"홍천군","귀농인수 (명)",155,16,18,62,56,3
"홍천군","동반가구원수 (명)",91,36,5,27,18,5
"횡성군","귀농가구원수 (명)",191,32,26,76,50,7
"횡성군","귀농인수 (명)",130,11,21,57,36,5
"횡성군","동반가구원수 (명)",61,21,5,19,14,2
"영월군","귀농가구원수 (명)",130,22,18,55,31,4
"영월군","귀농인수 (명)",97,6,16,43,29,3
"영월군","동반가구원수 (명)",33,16,2,12,2,1
"평창군","귀농가구원수 (명)",160,32,26,56,36,10
"평창군","귀농인수 (명)",114,12,19,50,29,4
"평창군","동반가구원수 (명)",46,20,7,6,7,6
"정선군","귀농가구원수 (명)",95,18,12,31,26,8
"정선군","귀농인수 (명)",68,5,8,25,23,7
"정선군","동반가구원수 (명)",27,13,4,6,3,1
"철원군","귀농가구원수 (명)",87,40,14,20,9,4
"철원군","귀농인수 (명)",46,10,10,16,7,3
"철원군","동반가구원수 (명)",41,30,4,4,2,1
"화천군","귀농가구원수 (명)",96,24,16,31,23,2
"화천군","귀농인수 (명)",62,9,11,24,16,2
"화천군","동반가구원수 (명)",34,15,5,7,7,-
"양구군","귀농가구원수 (명)",53,6,6,27,11,3
"양구군","귀농인수 (명)",39,1,5,22,8,3
"양구군","동반가구원수 (명)",14,5,1,5,3,-
"인제군","귀농가구원수 (명)",76,10,12,29,23,2
"인제군","귀농인수 (명)",62,5,12,25,19,1
"인제군","동반가구원수 (명)",14,5,-,4,4,1
"고성군","귀농가구원수 (명)",50,14,11,14,8,3
"고성군","귀농인수 (명)",37,5,10,13,7,2
"고성군","동반가구원수 (명)",13,9,1,1,1,1
"양양군","귀농가구원수 (명)",81,24,11,28,14,4
"양양군","귀농인수 (명)",51,8,9,19,13,2
"양양군","동반가구원수 (명)",30,16,2,9,1,2
